LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,YEAR,MONTH,DAY,DAY_OF_WEEK,DAY_OF_YEAR
26.2,32.75,96.0,2008-08-30,34.6,2008,8,30,5,243
31.3331,27.2167,25.0,2016-04-17,22.1,2016,4,17,6,108
31.184,29.949,-1.8,2022-11-10,23.2,2022,11,10,3,314
25.4831,29.0,107.0,2010-02-09,16.7,2010,2,9,1,40
27.05,27.983,78.0,2015-06-16,29.5,2015,6,16,1,167
29.2,25.3167,-15.0,2007-10-06,25.7,2007,10,6,5,279
31.3331,27.2167,25.0,2007-03-24,14.4,2007,3,24,5,83
23.9667,32.7831,200.0,2011-03-08,21.1,2011,3,8,1,67
31.073,33.836,36.9,2013-10-05,21.2,2013,10,5,5,278
29.2,25.3167,-15.0,2001-05-14,22.6,2001,5,14,0,134
31.3331,27.2167,25.0,2008-10-28,20.3,2008,10,28,1,302
27.05,27.983,78.0,2015-11-06,18.4,2015,11,6,4,310
23.9667,32.7831,200.0,2024-06-21,38.1,2024,6,21,4,173
31.567,25.133,6.0,2024-02-02,9.8,2024,2,2,4,33
31.3331,27.2167,25.0,2018-06-25,25.8,2018,6,25,0,176
26.2,32.75,96.0,2006-12-02,17.3,2006,12,2,5,336
31.184,29.949,-1.8,2019-09-21,26.0,2019,9,21,5,264
23.133,35.583,21.0,2004-12-10,20.8,2004,12,10,4,345
25.45,30.533,73.0,2005-03-25,19.8,2005,3,25,4,84
31.3331,27.2167,25.0,2001-12-05,14.0,2001,12,5,2,339
25.4831,29.0,107.0,2006-06-24,33.7,2006,6,24,5,175
31.3331,27.2167,25.0,2001-06-11,22.6,2001,6,11,0,162
25.4831,29.0,107.0,2003-02-21,14.8,2003,2,21,4,52
31.3331,27.2167,25.0,2007-10-23,22.6,2007,10,23,1,296
28.083,30.733,40.0,2023-08-25,31.2,2023,8,25,4,237
31.073,33.836,36.9,2011-09-06,27.3,2011,9,6,1,249
25.45,30.533,73.0,2007-08-25,33.7,2007,8,25,5,237
23.9667,32.7831,200.0,2023-11-20,19.7,2023,11,20,0,324
23.133,35.583,21.0,2006-01-31,22.9,2006,1,31,1,31
28.083,30.733,40.0,2008-03-13,17.2,2008,3,13,3,73
31.3331,27.2167,25.0,2003-04-08,15.8,2003,4,8,1,98
26.2,32.75,96.0,2024-05-11,34.6,2024,5,11,5,132
23.133,35.583,21.0,2016-12-24,23.4,2016,12,24,5,359
31.184,29.949,-1.8,2014-07-10,26.8,2014,7,10,3,191
28.083,30.733,40.0,2000-06-13,29.9,2000,6,13,1,165
25.4831,29.0,107.0,2002-07-26,32.7,2002,7,26,4,207
31.567,25.133,6.0,2023-01-31,10.2,2023,1,31,1,31
27.05,27.983,78.0,2011-04-20,20.1,2011,4,20,2,110
31.184,29.949,-1.8,2006-10-09,23.9,2006,10,9,0,282
23.9667,32.7831,200.0,2013-10-08,27.2,2013,10,8,1,281
28.083,30.733,40.0,2003-02-02,13.4,2003,2,2,6,33
31.184,29.949,-1.8,2015-08-28,28.4,2015,8,28,4,240
27.05,27.983,78.0,2006-01-28,10.6,2006,1,28,5,28
23.9667,32.7831,200.0,2024-05-21,37.3,2024,5,21,1,142
31.3331,27.2167,25.0,2020-12-20,16.6,2020,12,20,6,355
25.4831,29.0,107.0,2015-09-24,26.9,2015,9,24,3,267
27.15,33.7167,16.0,2005-04-04,18.2,2005,4,4,0,94
31.567,25.133,6.0,2008-09-15,27.0,2008,9,15,0,259
27.05,27.983,78.0,2001-06-17,31.2,2001,6,17,6,168
31.184,29.949,-1.8,2008-04-11,20.1,2008,4,11,4,102
25.4831,29.0,107.0,2003-10-15,23.6,2003,10,15,2,288
28.083,30.733,40.0,2018-08-31,30.3,2018,8,31,4,243
25.45,30.533,73.0,2017-06-04,32.1,2017,6,4,6,155
23.9667,32.7831,200.0,2010-05-18,37.7,2010,5,18,1,138
26.2,32.75,96.0,2016-02-05,19.8,2016,2,5,4,36
31.3331,27.2167,25.0,2019-09-14,26.2,2019,9,14,5,257
25.45,30.533,73.0,2011-11-17,16.1,2011,11,17,3,321
28.083,30.733,40.0,2023-06-23,28.4,2023,6,23,4,174
25.45,30.533,73.0,2009-10-28,26.7,2009,10,28,2,301
27.15,33.7167,16.0,2023-10-18,27.0,2023,10,18,2,291
31.184,29.949,-1.8,2014-02-16,16.7,2014,2,16,6,47
27.05,27.983,78.0,2017-03-28,20.3,2017,3,28,1,87
31.073,33.836,36.9,2007-01-06,13.2,2007,1,6,5,6
25.4831,29.0,107.0,2007-02-09,18.3,2007,2,9,4,40
31.3331,27.2167,25.0,2015-01-08,9.3,2015,1,8,3,8
28.083,30.733,40.0,2023-12-05,16.0,2023,12,5,1,339
27.05,27.983,78.0,2001-10-15,28.7,2001,10,15,0,288
23.9667,32.7831,200.0,2004-11-11,27.8,2004,11,11,3,316
31.073,33.836,36.9,2007-10-29,21.7,2007,10,29,0,302
31.3331,27.2167,25.0,2018-04-08,16.9,2018,4,8,6,98
28.083,30.733,40.0,2008-10-26,19.8,2008,10,26,6,300
25.4831,29.0,107.0,2001-01-27,14.1,2001,1,27,5,27
31.184,29.949,-1.8,2010-07-03,26.1,2010,7,3,5,184
28.083,30.733,40.0,2001-05-05,29.9,2001,5,5,5,125
31.184,29.949,-1.8,2015-09-06,27.5,2015,9,6,6,249
29.2,25.3167,-15.0,2015-01-16,13.3,2015,1,16,4,16
25.4831,29.0,107.0,2006-07-14,32.3,2006,7,14,4,195
25.45,30.533,73.0,2008-10-28,22.6,2008,10,28,1,302
23.133,35.583,21.0,2003-10-31,24.7,2003,10,31,4,304
25.4831,29.0,107.0,2017-08-04,30.1,2017,8,4,4,216
29.2,25.3167,-15.0,2004-04-14,24.6,2004,4,14,2,105
27.15,33.7167,16.0,2020-06-19,31.1,2020,6,19,4,171
27.15,33.7167,16.0,2013-04-30,30.7,2013,4,30,1,120
31.3331,27.2167,25.0,2016-03-25,17.9,2016,3,25,4,85
27.15,33.7167,16.0,2007-04-03,21.1,2007,4,3,1,93
25.45,30.533,73.0,2018-04-13,27.7,2018,4,13,4,103
25.45,30.533,73.0,2015-06-19,36.4,2015,6,19,4,170
23.133,35.583,21.0,2023-09-24,32.6,2023,9,24,6,267
25.4831,29.0,107.0,2012-11-12,18.4,2012,11,12,0,317
27.05,27.983,78.0,2014-05-20,26.7,2014,5,20,1,140
31.3331,27.2167,25.0,2020-08-02,26.8,2020,8,2,6,215
31.3331,27.2167,25.0,2003-07-24,27.1,2003,7,24,3,205
28.083,30.733,40.0,2007-12-30,13.5,2007,12,30,6,364
25.45,30.533,73.0,2022-03-03,17.9,2022,3,3,3,62
26.2,32.75,96.0,2007-01-12,14.3,2007,1,12,4,12
31.184,29.949,-1.8,2014-07-29,29.0,2014,7,29,1,210
28.083,30.733,40.0,2010-04-06,21.2,2010,4,6,1,96
27.15,33.7167,16.0,2004-06-23,30.2,2004,6,23,2,175
25.45,30.533,73.0,2019-11-10,25.7,2019,11,10,6,314
27.05,27.983,78.0,2018-04-22,21.0,2018,4,22,6,112
26.2,32.75,96.0,2013-12-21,14.7,2013,12,21,5,355
29.2,25.3167,-15.0,2006-02-10,11.1,2006,2,10,4,41
26.2,32.75,96.0,2005-06-06,31.8,2005,6,6,0,157
23.133,35.583,21.0,2006-03-02,30.6,2006,3,2,3,61
26.2,32.75,96.0,2005-11-21,20.1,2005,11,21,0,325
31.073,33.836,36.9,2011-07-28,27.7,2011,7,28,3,209
25.4831,29.0,107.0,2021-09-06,31.3,2021,9,6,0,249
31.184,29.949,-1.8,2010-11-18,20.7,2010,11,18,3,322
31.3331,27.2167,25.0,2006-03-27,15.6,2006,3,27,0,86
25.45,30.533,73.0,2008-05-22,35.4,2008,5,22,3,143
31.184,29.949,-1.8,2007-08-20,27.1,2007,8,20,0,232
25.4831,29.0,107.0,2012-04-12,21.3,2012,4,12,3,103
25.4831,29.0,107.0,2017-05-18,33.1,2017,5,18,3,138
25.4831,29.0,107.0,2018-02-01,13.5,2018,2,1,3,32
29.2,25.3167,-15.0,2015-03-12,16.1,2015,3,12,3,71
31.567,25.133,6.0,2006-05-20,19.4,2006,5,20,5,140
23.133,35.583,21.0,2010-09-20,31.2,2010,9,20,0,263
23.133,35.583,21.0,2003-08-08,31.7,2003,8,8,4,220
31.567,25.133,6.0,2020-10-07,27.1,2020,10,7,2,281
31.184,29.949,-1.8,2018-08-22,28.5,2018,8,22,2,234
26.2,32.75,96.0,2017-05-09,31.2,2017,5,9,1,129
27.05,27.983,78.0,2009-01-19,12.8,2009,1,19,0,19
23.9667,32.7831,200.0,2010-01-08,23.2,2010,1,8,4,8
29.2,25.3167,-15.0,2017-08-10,34.9,2017,8,10,3,222
23.133,35.583,21.0,2011-01-14,22.1,2011,1,14,4,14
31.073,33.836,36.9,2003-12-22,11.2,2003,12,22,0,356
23.133,35.583,21.0,2018-03-24,29.2,2018,3,24,5,83
29.2,25.3167,-15.0,2002-08-02,31.9,2002,8,2,4,214
27.05,27.983,78.0,2011-05-04,31.2,2011,5,4,2,124
23.133,35.583,21.0,2005-05-07,26.0,2005,5,7,5,127
25.4831,29.0,107.0,2004-08-04,31.2,2004,8,4,2,217
31.3331,27.2167,25.0,2001-08-17,26.4,2001,8,17,4,229
28.083,30.733,40.0,2008-04-12,22.9,2008,4,12,5,103
23.9667,32.7831,200.0,2016-10-26,26.9,2016,10,26,2,300
29.2,25.3167,-15.0,2014-12-06,18.1,2014,12,6,5,340
27.15,33.7167,16.0,2023-01-20,18.2,2023,1,20,4,20
31.3331,27.2167,25.0,2020-10-26,23.7,2020,10,26,0,300
28.083,30.733,40.0,2005-10-20,19.2,2005,10,20,3,293
31.3331,27.2167,25.0,2008-04-09,23.4,2008,4,9,2,100
26.2,32.75,96.0,2006-12-29,11.2,2006,12,29,4,363
31.567,25.133,6.0,2000-10-09,21.6,2000,10,9,0,283
28.083,30.733,40.0,2024-08-15,31.0,2024,8,15,3,228
25.4831,29.0,107.0,2017-09-27,29.2,2017,9,27,2,270
27.05,27.983,78.0,2006-11-11,16.4,2006,11,11,5,315
23.9667,32.7831,200.0,2005-02-07,15.9,2005,2,7,0,38
31.567,25.133,6.0,2008-01-14,10.8,2008,1,14,0,14
27.05,27.983,78.0,2019-04-28,27.6,2019,4,28,6,118
31.184,29.949,-1.8,2013-06-19,26.4,2013,6,19,2,170
28.083,30.733,40.0,2017-06-07,33.9,2017,6,7,2,158
23.9667,32.7831,200.0,2019-07-19,38.1,2019,7,19,4,200
25.45,30.533,73.0,2002-08-14,38.8,2002,8,14,2,226
23.9667,32.7831,200.0,2009-03-27,21.1,2009,3,27,4,86
23.9667,32.7831,200.0,2013-10-10,30.0,2013,10,10,3,283
25.4831,29.0,107.0,2011-02-23,18.7,2011,2,23,2,54
31.184,29.949,-1.8,2004-02-16,11.8,2004,2,16,0,47
29.2,25.3167,-15.0,2006-05-03,21.8,2006,5,3,2,123
23.133,35.583,21.0,2003-10-13,26.9,2003,10,13,0,286
31.567,25.133,6.0,2024-12-13,14.2,2024,12,13,4,348
26.2,32.75,96.0,2023-08-27,40.9,2023,8,27,6,239
31.3331,27.2167,25.0,2009-02-07,19.0,2009,2,7,5,38
27.15,33.7167,16.0,2015-06-09,33.6,2015,6,9,1,160
31.567,25.133,6.0,2012-10-15,23.7,2012,10,15,0,289
31.184,29.949,-1.8,2003-09-15,25.3,2003,9,15,0,258
26.2,32.75,96.0,2023-09-18,33.4,2023,9,18,0,261
31.073,33.836,36.9,2009-09-06,26.2,2009,9,6,6,249
26.2,32.75,96.0,2010-02-15,26.4,2010,2,15,0,46
27.15,33.7167,16.0,2008-01-10,17.3,2008,1,10,3,10
23.9667,32.7831,200.0,2016-01-03,11.9,2016,1,3,6,3
23.9667,32.7831,200.0,2019-03-18,18.8,2019,3,18,0,77
31.3331,27.2167,25.0,2013-07-11,25.1,2013,7,11,3,192
31.073,33.836,36.9,2016-12-23,10.4,2016,12,23,4,358
31.184,29.949,-1.8,2005-04-17,21.9,2005,4,17,6,107
29.2,25.3167,-15.0,2001-08-05,32.5,2001,8,5,6,217
31.184,29.949,-1.8,2020-03-05,17.8,2020,3,5,3,65
31.3331,27.2167,25.0,2016-03-08,17.2,2016,3,8,1,68
25.45,30.533,73.0,2006-03-08,21.2,2006,3,8,2,67
27.15,33.7167,16.0,2024-06-07,35.7,2024,6,7,4,159
31.184,29.949,-1.8,2015-04-23,17.8,2015,4,23,3,113
29.2,25.3167,-15.0,2014-04-02,18.9,2014,4,2,2,92
25.4831,29.0,107.0,2012-12-06,18.2,2012,12,6,3,341
31.567,25.133,6.0,2012-07-11,28.6,2012,7,11,2,193
31.184,29.949,-1.8,2007-10-21,24.4,2007,10,21,6,294
23.9667,32.7831,200.0,2003-02-15,15.8,2003,2,15,5,46
23.9667,32.7831,200.0,2006-01-07,22.1,2006,1,7,5,7
25.45,30.533,73.0,2011-04-07,22.3,2011,4,7,3,97
23.9667,32.7831,200.0,2021-11-28,24.2,2021,11,28,6,332
25.45,30.533,73.0,2018-07-01,32.3,2018,7,1,6,182
28.083,30.733,40.0,2009-02-15,13.8,2009,2,15,6,46
25.4831,29.0,107.0,2017-08-02,32.6,2017,8,2,2,214
29.2,25.3167,-15.0,2002-07-11,29.9,2002,7,11,3,192
28.083,30.733,40.0,2004-07-31,30.3,2004,7,31,5,213
31.073,33.836,36.9,2018-02-06,14.3,2018,2,6,1,37
23.133,35.583,21.0,2016-06-26,33.0,2016,6,26,6,178
31.3331,27.2167,25.0,2009-04-23,17.8,2009,4,23,3,113
31.073,33.836,36.9,2013-11-20,16.6,2013,11,20,2,324
28.083,30.733,40.0,2008-08-27,32.4,2008,8,27,2,240
26.2,32.75,96.0,2008-06-04,34.1,2008,6,4,2,156
23.133,35.583,21.0,2008-03-18,23.0,2008,3,18,1,78
23.9667,32.7831,200.0,2007-05-09,37.5,2007,5,9,2,129
23.9667,32.7831,200.0,2014-11-15,24.1,2014,11,15,5,319
31.3331,27.2167,25.0,2013-06-12,22.4,2013,6,12,2,163
27.05,27.983,78.0,2004-12-19,12.3,2004,12,19,6,354
31.3331,27.2167,25.0,2011-06-30,24.3,2011,6,30,3,181
25.4831,29.0,107.0,2005-10-04,27.9,2005,10,4,1,277
27.05,27.983,78.0,2012-02-06,18.2,2012,2,6,0,37
23.9667,32.7831,200.0,2002-10-21,28.3,2002,10,21,0,294
29.2,25.3167,-15.0,2008-02-14,12.4,2008,2,14,3,45
29.2,25.3167,-15.0,2004-06-02,25.2,2004,6,2,2,154
28.083,30.733,40.0,2018-11-22,20.3,2018,11,22,3,326
28.083,30.733,40.0,2023-07-04,33.8,2023,7,4,1,185
28.083,30.733,40.0,2020-09-19,31.2,2020,9,19,5,263
31.184,29.949,-1.8,2005-09-26,26.5,2005,9,26,0,269
26.2,32.75,96.0,2016-02-08,13.4,2016,2,8,0,39
26.2,32.75,96.0,2011-12-09,16.2,2011,12,9,4,343
23.133,35.583,21.0,2012-02-07,23.3,2012,2,7,1,38
28.083,30.733,40.0,2012-02-20,11.3,2012,2,20,0,51
26.2,32.75,96.0,2023-05-04,35.7,2023,5,4,3,124
25.45,30.533,73.0,2021-08-03,35.1,2021,8,3,1,215
31.073,33.836,36.9,2000-06-04,21.4,2000,6,4,6,156
23.133,35.583,21.0,2010-03-08,24.2,2010,3,8,0,67
26.2,32.75,96.0,2008-10-29,22.4,2008,10,29,2,303
26.2,32.75,96.0,2012-05-25,36.6,2012,5,25,4,146
29.2,25.3167,-15.0,2013-11-04,21.4,2013,11,4,0,308
31.567,25.133,6.0,2008-04-28,15.9,2008,4,28,0,119
25.45,30.533,73.0,2015-02-02,15.3,2015,2,2,0,33
31.184,29.949,-1.8,2005-01-02,16.7,2005,1,2,6,2
28.083,30.733,40.0,2009-09-08,30.7,2009,9,8,1,251
29.2,25.3167,-15.0,2005-07-28,31.6,2005,7,28,3,209
31.567,25.133,6.0,2016-12-19,12.0,2016,12,19,0,354
31.567,25.133,6.0,2006-07-02,26.8,2006,7,2,6,183
28.083,30.733,40.0,2000-06-07,26.8,2000,6,7,2,159
31.184,29.949,-1.8,2022-06-05,24.4,2022,6,5,6,156
31.3331,27.2167,25.0,2009-02-23,11.5,2009,2,23,0,54
27.15,33.7167,16.0,2016-10-31,25.7,2016,10,31,0,305
31.3331,27.2167,25.0,2022-11-02,20.2,2022,11,2,2,306
27.15,33.7167,16.0,2019-12-15,18.7,2019,12,15,6,349
27.15,33.7167,16.0,2016-09-13,31.1,2016,9,13,1,257
23.9667,32.7831,200.0,2006-11-27,19.7,2006,11,27,0,331
31.073,33.836,36.9,2023-12-04,23.1,2023,12,4,0,338
31.3331,27.2167,25.0,2014-05-10,19.3,2014,5,10,5,130
28.083,30.733,40.0,2000-11-11,18.2,2000,11,11,5,316
26.2,32.75,96.0,2012-10-20,29.8,2012,10,20,5,294
27.05,27.983,78.0,2015-12-14,14.9,2015,12,14,0,348
23.133,35.583,21.0,2024-01-31,18.5,2024,1,31,2,31
27.15,33.7167,16.0,2007-03-21,21.5,2007,3,21,2,80
31.184,29.949,-1.8,2002-01-31,13.8,2002,1,31,3,31
23.9667,32.7831,200.0,2005-09-15,32.6,2005,9,15,3,258
31.184,29.949,-1.8,2009-04-09,18.6,2009,4,9,3,99
31.3331,27.2167,25.0,2001-02-13,14.9,2001,2,13,1,44
31.3331,27.2167,25.0,2012-04-01,18.2,2012,4,1,6,92
25.45,30.533,73.0,2014-12-28,14.1,2014,12,28,6,362
31.3331,27.2167,25.0,2017-01-29,12.4,2017,1,29,6,29
25.45,30.533,73.0,2005-10-06,27.6,2005,10,6,3,279
26.2,32.75,96.0,2010-05-27,31.9,2010,5,27,3,147
28.083,30.733,40.0,2023-11-30,16.4,2023,11,30,3,334
27.15,33.7167,16.0,2018-01-13,18.9,2018,1,13,5,13
23.133,35.583,21.0,2023-12-30,22.6,2023,12,30,5,364
27.15,33.7167,16.0,2018-10-16,26.4,2018,10,16,1,289
31.073,33.836,36.9,2010-12-29,16.1,2010,12,29,2,363
27.05,27.983,78.0,2016-08-28,33.2,2016,8,28,6,241
25.45,30.533,73.0,2019-08-31,32.7,2019,8,31,5,243
31.184,29.949,-1.8,2013-01-07,14.1,2013,1,7,0,7
27.15,33.7167,16.0,2018-06-19,34.3,2018,6,19,1,170
31.3331,27.2167,25.0,2018-02-23,16.4,2018,2,23,4,54
31.3331,27.2167,25.0,2007-08-25,27.8,2007,8,25,5,237
26.2,32.75,96.0,2013-10-02,27.2,2013,10,2,2,275
25.45,30.533,73.0,2015-07-21,34.6,2015,7,21,1,202
31.184,29.949,-1.8,2020-06-04,22.1,2020,6,4,3,156
27.15,33.7167,16.0,2007-11-17,21.7,2007,11,17,5,321
23.133,35.583,21.0,2009-09-25,29.1,2009,9,25,4,268
23.9667,32.7831,200.0,2000-10-13,26.6,2000,10,13,4,287
28.083,30.733,40.0,2018-10-01,27.6,2018,10,1,0,274
31.184,29.949,-1.8,2021-08-29,29.1,2021,8,29,6,241
31.184,29.949,-1.8,2009-06-10,26.8,2009,6,10,2,161
27.15,33.7167,16.0,2001-06-19,30.2,2001,6,19,1,170
31.567,25.133,6.0,2012-12-12,12.4,2012,12,12,2,347
31.184,29.949,-1.8,2017-05-13,24.6,2017,5,13,5,133
27.15,33.7167,16.0,2005-07-10,32.4,2005,7,10,6,191
31.567,25.133,6.0,2010-05-24,18.8,2010,5,24,0,144
31.567,25.133,6.0,2007-05-19,21.4,2007,5,19,5,139
26.2,32.75,96.0,2006-12-07,15.4,2006,12,7,3,341
25.45,30.533,73.0,2019-08-06,34.8,2019,8,6,1,218
28.083,30.733,40.0,2002-09-04,30.2,2002,9,4,2,247
31.184,29.949,-1.8,2007-09-23,25.7,2007,9,23,6,266
27.15,33.7167,16.0,2025-02-11,15.8,2025,2,11,1,42
26.2,32.75,96.0,2010-03-09,30.5,2010,3,9,1,68
