LATITUDE,LONGITUDE,ELEVATION,TAVG,YEAR,MONTH,DAY,DAY_OF_WEEK,DAY_OF_YEAR
27.15,33.7167,16.0,20.2,2000,3,18,5,78
27.15,33.7167,16.0,20.2,2000,3,19,6,79
27.15,33.7167,16.0,20.3,2000,3,20,0,80
27.15,33.7167,16.0,21.1,2000,3,21,1,81
27.15,33.7167,16.0,20.4,2000,3,22,2,82
27.15,33.7167,16.0,18.6,2000,3,23,3,83
27.15,33.7167,16.0,17.1,2000,3,24,4,84
27.15,33.7167,16.0,17.9,2000,3,25,5,85
27.15,33.7167,16.0,19.1,2000,3,26,6,86
27.15,33.7167,16.0,19.9,2000,3,27,0,87
27.15,33.7167,16.0,21.4,2000,3,28,1,88
27.15,33.7167,16.0,22.6,2000,3,29,2,89
27.15,33.7167,16.0,23.5,2000,3,30,3,90
27.15,33.7167,16.0,24.8,2000,3,31,4,91
27.15,33.7167,16.0,24.8,2000,4,1,5,92
27.15,33.7167,16.0,24.0,2000,4,2,6,93
27.15,33.7167,16.0,25.2,2000,4,3,0,94
27.15,33.7167,16.0,24.8,2000,4,4,1,95
27.15,33.7167,16.0,25.3,2000,4,5,2,96
27.15,33.7167,16.0,28.3,2000,4,6,3,97
27.15,33.7167,16.0,25.3,2000,4,7,4,98
27.15,33.7167,16.0,23.7,2000,4,8,5,99
27.15,33.7167,16.0,22.0,2000,4,9,6,100
27.15,33.7167,16.0,21.9,2000,4,10,0,101
27.15,33.7167,16.0,25.6,2000,4,11,1,102
27.15,33.7167,16.0,26.9,2000,4,12,2,103
27.15,33.7167,16.0,27.4,2000,4,13,3,104
27.15,33.7167,16.0,24.5,2000,4,14,4,105
27.15,33.7167,16.0,23.9,2000,4,15,5,106
27.15,33.7167,16.0,23.7,2000,4,16,6,107
27.15,33.7167,16.0,24.3,2000,4,17,0,108
27.15,33.7167,16.0,24.9,2000,4,18,1,109
27.15,33.7167,16.0,26.8,2000,4,19,2,110
27.15,33.7167,16.0,24.7,2000,4,20,3,111
27.15,33.7167,16.0,23.3,2000,4,21,4,112
27.15,33.7167,16.0,22.9,2000,4,22,5,113
27.15,33.7167,16.0,24.3,2000,4,23,6,114
27.15,33.7167,16.0,25.8,2000,4,24,0,115
27.15,33.7167,16.0,25.8,2000,4,25,1,116
27.15,33.7167,16.0,25.9,2000,4,26,2,117
27.15,33.7167,16.0,28.1,2000,4,27,3,118
27.15,33.7167,16.0,24.9,2000,4,28,4,119
27.15,33.7167,16.0,25.4,2000,4,29,5,120
27.15,33.7167,16.0,26.2,2000,4,30,6,121
27.15,33.7167,16.0,26.1,2000,5,1,0,122
27.15,33.7167,16.0,27.4,2000,5,2,1,123
27.15,33.7167,16.0,27.2,2000,5,3,2,124
27.15,33.7167,16.0,27.3,2000,5,4,3,125
27.15,33.7167,16.0,26.9,2000,5,5,4,126
27.15,33.7167,16.0,26.1,2000,5,6,5,127
27.15,33.7167,16.0,24.3,2000,5,7,6,128
27.15,33.7167,16.0,23.6,2000,5,8,0,129
27.15,33.7167,16.0,23.7,2000,5,9,1,130
27.15,33.7167,16.0,25.4,2000,5,10,2,131
27.15,33.7167,16.0,26.1,2000,5,11,3,132
27.15,33.7167,16.0,26.8,2000,5,12,4,133
27.15,33.7167,16.0,27.0,2000,5,13,5,134
27.15,33.7167,16.0,29.1,2000,5,14,6,135
27.15,33.7167,16.0,28.7,2000,5,15,0,136
27.15,33.7167,16.0,29.3,2000,5,16,1,137
27.15,33.7167,16.0,29.9,2000,5,17,2,138
27.15,33.7167,16.0,30.1,2000,5,18,3,139
27.15,33.7167,16.0,27.7,2000,5,19,4,140
27.15,33.7167,16.0,27.9,2000,5,20,5,141
27.15,33.7167,16.0,28.6,2000,5,21,6,142
27.15,33.7167,16.0,29.6,2000,5,22,0,143
27.15,33.7167,16.0,28.2,2000,5,23,1,144
27.15,33.7167,16.0,29.3,2000,5,24,2,145
27.15,33.7167,16.0,30.6,2000,5,25,3,146
27.15,33.7167,16.0,28.0,2000,5,26,4,147
27.15,33.7167,16.0,27.4,2000,5,27,5,148
27.15,33.7167,16.0,28.4,2000,5,28,6,149
27.15,33.7167,16.0,31.0,2000,5,29,0,150
27.15,33.7167,16.0,32.9,2000,5,30,1,151
27.15,33.7167,16.0,31.9,2000,5,31,2,152
27.15,33.7167,16.0,30.0,2000,6,1,3,153
27.15,33.7167,16.0,30.4,2000,6,2,4,154
27.15,33.7167,16.0,29.8,2000,6,3,5,155
27.15,33.7167,16.0,28.1,2000,6,4,6,156
27.15,33.7167,16.0,28.2,2000,6,5,0,157
27.15,33.7167,16.0,30.1,2000,6,6,1,158
27.15,33.7167,16.0,30.0,2000,6,7,2,159
27.15,33.7167,16.0,29.9,2000,6,8,3,160
27.15,33.7167,16.0,30.6,2000,6,9,4,161
27.15,33.7167,16.0,30.7,2000,6,10,5,162
27.15,33.7167,16.0,31.3,2000,6,11,6,163
27.15,33.7167,16.0,31.2,2000,6,12,0,164
27.15,33.7167,16.0,31.5,2000,6,13,1,165
27.15,33.7167,16.0,32.1,2000,6,14,2,166
27.15,33.7167,16.0,32.3,2000,6,15,3,167
27.15,33.7167,16.0,31.1,2000,6,16,4,168
27.15,33.7167,16.0,32.1,2000,6,17,5,169
27.15,33.7167,16.0,32.9,2000,6,18,6,170
27.15,33.7167,16.0,31.2,2000,6,19,0,171
27.15,33.7167,16.0,29.1,2000,6,20,1,172
27.15,33.7167,16.0,29.4,2000,6,21,2,173
27.15,33.7167,16.0,29.1,2000,6,22,3,174
27.15,33.7167,16.0,29.6,2000,6,23,4,175
27.15,33.7167,16.0,30.2,2000,6,24,5,176
27.15,33.7167,16.0,31.1,2000,6,25,6,177
27.15,33.7167,16.0,31.6,2000,6,26,0,178
27.15,33.7167,16.0,31.4,2000,6,27,1,179
27.15,33.7167,16.0,32.0,2000,6,28,2,180
27.15,33.7167,16.0,32.2,2000,6,29,3,181
27.15,33.7167,16.0,31.4,2000,6,30,4,182
27.15,33.7167,16.0,31.1,2000,7,1,5,183
27.15,33.7167,16.0,31.8,2000,7,2,6,184
27.15,33.7167,16.0,33.0,2000,7,3,0,185
27.15,33.7167,16.0,33.6,2000,7,4,1,186
27.15,33.7167,16.0,35.1,2000,7,5,2,187
27.15,33.7167,16.0,33.8,2000,7,6,3,188
27.15,33.7167,16.0,32.6,2000,7,7,4,189
27.15,33.7167,16.0,31.6,2000,7,8,5,190
27.15,33.7167,16.0,34.3,2000,7,9,6,191
27.15,33.7167,16.0,35.1,2000,7,10,0,192
27.15,33.7167,16.0,33.9,2000,7,11,1,193
27.15,33.7167,16.0,33.0,2000,7,12,2,194
27.15,33.7167,16.0,34.8,2000,7,13,3,195
27.15,33.7167,16.0,35.2,2000,7,14,4,196
27.15,33.7167,16.0,33.6,2000,7,15,5,197
27.15,33.7167,16.0,32.7,2000,7,16,6,198
27.15,33.7167,16.0,32.2,2000,7,17,0,199
27.15,33.7167,16.0,31.8,2000,7,18,1,200
27.15,33.7167,16.0,32.4,2000,7,19,2,201
27.15,33.7167,16.0,32.3,2000,7,20,3,202
27.15,33.7167,16.0,33.9,2000,7,21,4,203
27.15,33.7167,16.0,33.7,2000,7,22,5,204
27.15,33.7167,16.0,31.9,2000,7,23,6,205
27.15,33.7167,16.0,30.1,2000,7,24,0,206
27.15,33.7167,16.0,31.8,2000,7,25,1,207
27.15,33.7167,16.0,33.2,2000,7,26,2,208
27.15,33.7167,16.0,34.1,2000,7,27,3,209
27.15,33.7167,16.0,34.3,2000,7,28,4,210
27.15,33.7167,16.0,35.7,2000,7,29,5,211
27.15,33.7167,16.0,37.4,2000,7,30,6,212
27.15,33.7167,16.0,37.2,2000,7,31,0,213
27.15,33.7167,16.0,35.3,2000,8,1,1,214
27.15,33.7167,16.0,32.6,2000,8,2,2,215
27.15,33.7167,16.0,31.7,2000,8,3,3,216
27.15,33.7167,16.0,31.3,2000,8,4,4,217
27.15,33.7167,16.0,31.0,2000,8,5,5,218
27.15,33.7167,16.0,29.6,2000,8,6,6,219
27.15,33.7167,16.0,31.4,2000,8,7,0,220
27.15,33.7167,16.0,32.9,2000,8,8,1,221
27.15,33.7167,16.0,33.1,2000,8,9,2,222
27.15,33.7167,16.0,31.8,2000,8,10,3,223
27.15,33.7167,16.0,31.4,2000,8,11,4,224
27.15,33.7167,16.0,31.0,2000,8,12,5,225
27.15,33.7167,16.0,30.5,2000,8,13,6,226
27.15,33.7167,16.0,30.3,2000,8,14,0,227
27.15,33.7167,16.0,30.7,2000,8,15,1,228
27.15,33.7167,16.0,32.6,2000,8,16,2,229
27.15,33.7167,16.0,33.0,2000,8,17,3,230
27.15,33.7167,16.0,32.7,2000,8,18,4,231
27.15,33.7167,16.0,32.6,2000,8,19,5,232
27.15,33.7167,16.0,31.5,2000,8,20,6,233
27.15,33.7167,16.0,30.4,2000,8,21,0,234
27.15,33.7167,16.0,32.0,2000,8,22,1,235
27.15,33.7167,16.0,33.2,2000,8,23,2,236
27.15,33.7167,16.0,33.8,2000,8,24,3,237
27.15,33.7167,16.0,32.5,2000,8,25,4,238
27.15,33.7167,16.0,33.8,2000,8,26,5,239
27.15,33.7167,16.0,32.9,2000,8,27,6,240
27.15,33.7167,16.0,32.2,2000,8,28,0,241
27.15,33.7167,16.0,30.1,2000,8,29,1,242
27.15,33.7167,16.0,31.2,2000,8,30,2,243
27.15,33.7167,16.0,30.1,2000,8,31,3,244
27.15,33.7167,16.0,29.8,2000,9,1,4,245
27.15,33.7167,16.0,29.8,2000,9,2,5,246
27.15,33.7167,16.0,31.4,2000,9,3,6,247
27.15,33.7167,16.0,31.2,2000,9,4,0,248
27.15,33.7167,16.0,31.0,2000,9,5,1,249
27.15,33.7167,16.0,31.9,2000,9,6,2,250
27.15,33.7167,16.0,32.7,2000,9,7,3,251
27.15,33.7167,16.0,32.1,2000,9,8,4,252
27.15,33.7167,16.0,30.4,2000,9,9,5,253
27.15,33.7167,16.0,29.9,2000,9,10,6,254
27.15,33.7167,16.0,30.9,2000,9,11,0,255
27.15,33.7167,16.0,31.8,2000,9,12,1,256
27.15,33.7167,16.0,32.2,2000,9,13,2,257
27.15,33.7167,16.0,30.9,2000,9,14,3,258
27.15,33.7167,16.0,28.9,2000,9,15,4,259
27.15,33.7167,16.0,28.8,2000,9,16,5,260
27.15,33.7167,16.0,28.1,2000,9,17,6,261
27.15,33.7167,16.0,28.4,2000,9,18,0,262
27.15,33.7167,16.0,28.4,2000,9,19,1,263
27.15,33.7167,16.0,28.8,2000,9,20,2,264
27.15,33.7167,16.0,30.0,2000,9,21,3,265
27.15,33.7167,16.0,31.3,2000,9,22,4,266
27.15,33.7167,16.0,32.2,2000,9,23,5,267
27.15,33.7167,16.0,31.8,2000,9,24,6,268
27.15,33.7167,16.0,30.2,2000,9,25,0,269
27.15,33.7167,16.0,29.3,2000,9,26,1,270
27.15,33.7167,16.0,27.7,2000,9,27,2,271
27.15,33.7167,16.0,27.9,2000,9,28,3,272
27.15,33.7167,16.0,26.6,2000,9,29,4,273
27.15,33.7167,16.0,26.5,2000,9,30,5,274
27.15,33.7167,16.0,26.2,2000,10,1,6,275
27.15,33.7167,16.0,26.2,2000,10,2,0,276
27.15,33.7167,16.0,26.1,2000,10,3,1,277
27.15,33.7167,16.0,26.6,2000,10,4,2,278
27.15,33.7167,16.0,28.4,2000,10,5,3,279
27.15,33.7167,16.0,28.8,2000,10,6,4,280
27.15,33.7167,16.0,27.7,2000,10,7,5,281
27.15,33.7167,16.0,27.5,2000,10,8,6,282
27.15,33.7167,16.0,27.6,2000,10,9,0,283
27.15,33.7167,16.0,27.4,2000,10,10,1,284
27.15,33.7167,16.0,27.7,2000,10,11,2,285
27.15,33.7167,16.0,26.4,2000,10,12,3,286
27.15,33.7167,16.0,25.8,2000,10,13,4,287
27.15,33.7167,16.0,25.4,2000,10,14,5,288
27.15,33.7167,16.0,25.2,2000,10,15,6,289
27.15,33.7167,16.0,25.3,2000,10,16,0,290
27.15,33.7167,16.0,25.9,2000,10,17,1,291
27.15,33.7167,16.0,26.2,2000,10,18,2,292
27.15,33.7167,16.0,25.8,2000,10,19,3,293
27.15,33.7167,16.0,24.8,2000,10,20,4,294
27.15,33.7167,16.0,24.8,2000,10,21,5,295
27.15,33.7167,16.0,23.7,2000,10,22,6,296
27.15,33.7167,16.0,22.3,2000,10,23,0,297
27.15,33.7167,16.0,21.2,2000,10,24,1,298
27.15,33.7167,16.0,20.7,2000,10,25,2,299
27.15,33.7167,16.0,20.4,2000,10,26,3,300
27.15,33.7167,16.0,21.9,2000,10,27,4,301
27.15,33.7167,16.0,22.7,2000,10,28,5,302
27.15,33.7167,16.0,24.3,2000,10,29,6,303
27.15,33.7167,16.0,23.3,2000,10,30,0,304
27.15,33.7167,16.0,22.7,2000,10,31,1,305
27.15,33.7167,16.0,22.7,2000,11,1,2,306
27.15,33.7167,16.0,22.1,2000,11,2,3,307
27.15,33.7167,16.0,22.3,2000,11,3,4,308
27.15,33.7167,16.0,23.2,2000,11,4,5,309
27.15,33.7167,16.0,23.0,2000,11,5,6,310
27.15,33.7167,16.0,22.4,2000,11,6,0,311
27.15,33.7167,16.0,22.3,2000,11,7,1,312
27.15,33.7167,16.0,23.7,2000,11,8,2,313
27.15,33.7167,16.0,22.8,2000,11,9,3,314
27.15,33.7167,16.0,21.2,2000,11,10,4,315
27.15,33.7167,16.0,21.8,2000,11,11,5,316
27.15,33.7167,16.0,23.6,2000,11,12,6,317
27.15,33.7167,16.0,22.8,2000,11,13,0,318
27.15,33.7167,16.0,22.6,2000,11,14,1,319
27.15,33.7167,16.0,22.0,2000,11,15,2,320
27.15,33.7167,16.0,22.6,2000,11,16,3,321
27.15,33.7167,16.0,21.4,2000,11,17,4,322
27.15,33.7167,16.0,20.9,2000,11,18,5,323
27.15,33.7167,16.0,20.6,2000,11,19,6,324
27.15,33.7167,16.0,20.6,2000,11,20,0,325
27.15,33.7167,16.0,20.6,2000,11,21,1,326
27.15,33.7167,16.0,19.7,2000,11,22,2,327
27.15,33.7167,16.0,21.1,2000,11,23,3,328
27.15,33.7167,16.0,20.7,2000,11,24,4,329
27.15,33.7167,16.0,19.8,2000,11,25,5,330
27.15,33.7167,16.0,20.0,2000,11,26,6,331
27.15,33.7167,16.0,19.7,2000,11,27,0,332
27.15,33.7167,16.0,20.3,2000,11,28,1,333
27.15,33.7167,16.0,19.7,2000,11,29,2,334
27.15,33.7167,16.0,19.4,2000,11,30,3,335
27.15,33.7167,16.0,18.7,2000,12,1,4,336
27.15,33.7167,16.0,19.6,2000,12,2,5,337
27.15,33.7167,16.0,19.1,2000,12,3,6,338
27.15,33.7167,16.0,19.1,2000,12,4,0,339
27.15,33.7167,16.0,19.5,2000,12,5,1,340
27.15,33.7167,16.0,19.4,2000,12,6,2,341
27.15,33.7167,16.0,19.1,2000,12,7,3,342
27.15,33.7167,16.0,18.7,2000,12,8,4,343
27.15,33.7167,16.0,17.2,2000,12,9,5,344
27.15,33.7167,16.0,16.9,2000,12,10,6,345
27.15,33.7167,16.0,17.1,2000,12,11,0,346
27.15,33.7167,16.0,17.5,2000,12,12,1,347
27.15,33.7167,16.0,16.9,2000,12,13,2,348
27.15,33.7167,16.0,17.1,2000,12,14,3,349
27.15,33.7167,16.0,16.8,2000,12,15,4,350
27.15,33.7167,16.0,17.2,2000,12,16,5,351
27.15,33.7167,16.0,18.3,2000,12,17,6,352
27.15,33.7167,16.0,18.9,2000,12,18,0,353
27.15,33.7167,16.0,18.4,2000,12,19,1,354
27.15,33.7167,16.0,17.5,2000,12,20,2,355
27.15,33.7167,16.0,17.0,2000,12,21,3,356
27.15,33.7167,16.0,16.7,2000,12,22,4,357
27.15,33.7167,16.0,16.2,2000,12,23,5,358
27.15,33.7167,16.0,16.7,2000,12,24,6,359
27.15,33.7167,16.0,16.5,2000,12,25,0,360
27.15,33.7167,16.0,15.8,2000,12,26,1,361
27.15,33.7167,16.0,15.9,2000,12,27,2,362
27.15,33.7167,16.0,16.0,2000,12,28,3,363
27.15,33.7167,16.0,19.0,2000,12,29,4,364
27.15,33.7167,16.0,18.7,2000,12,30,5,365
27.15,33.7167,16.0,16.9,2000,12,31,6,366
27.15,33.7167,16.0,17.3,2001,1,1,0,1
27.15,33.7167,16.0,18.4,2001,1,2,1,2
27.15,33.7167,16.0,17.6,2001,1,3,2,3
27.15,33.7167,16.0,17.6,2001,1,4,3,4
27.15,33.7167,16.0,17.1,2001,1,5,4,5
27.15,33.7167,16.0,16.4,2001,1,6,5,6
27.15,33.7167,16.0,17.3,2001,1,7,6,7
27.15,33.7167,16.0,17.1,2001,1,8,0,8
27.15,33.7167,16.0,16.8,2001,1,9,1,9
27.15,33.7167,16.0,17.4,2001,1,10,2,10
27.15,33.7167,16.0,17.3,2001,1,11,3,11
27.15,33.7167,16.0,17.2,2001,1,12,4,12
27.15,33.7167,16.0,16.7,2001,1,13,5,13
27.15,33.7167,16.0,16.6,2001,1,14,6,14
27.15,33.7167,16.0,18.9,2001,1,15,0,15
27.15,33.7167,16.0,19.8,2001,1,16,1,16
27.15,33.7167,16.0,19.3,2001,1,17,2,17
27.15,33.7167,16.0,18.2,2001,1,18,3,18
27.15,33.7167,16.0,17.0,2001,1,19,4,19
27.15,33.7167,16.0,16.3,2001,1,20,5,20
27.15,33.7167,16.0,16.3,2001,1,21,6,21
27.15,33.7167,16.0,16.1,2001,1,22,0,22
27.15,33.7167,16.0,15.9,2001,1,23,1,23
27.15,33.7167,16.0,15.8,2001,1,24,2,24
27.15,33.7167,16.0,16.9,2001,1,25,3,25
27.15,33.7167,16.0,16.2,2001,1,26,4,26
27.15,33.7167,16.0,14.5,2001,1,27,5,27
27.15,33.7167,16.0,15.6,2001,1,28,6,28
27.15,33.7167,16.0,15.2,2001,1,29,0,29
27.15,33.7167,16.0,16.0,2001,1,30,1,30
27.15,33.7167,16.0,17.0,2001,1,31,2,31
27.15,33.7167,16.0,18.4,2001,2,1,3,32
27.15,33.7167,16.0,18.1,2001,2,2,4,33
27.15,33.7167,16.0,18.2,2001,2,3,5,34
27.15,33.7167,16.0,16.3,2001,2,4,6,35
27.15,33.7167,16.0,16.1,2001,2,5,0,36
27.15,33.7167,16.0,16.6,2001,2,6,1,37
27.15,33.7167,16.0,17.1,2001,2,7,2,38
27.15,33.7167,16.0,16.6,2001,2,8,3,39
27.15,33.7167,16.0,16.3,2001,2,9,4,40
27.15,33.7167,16.0,16.5,2001,2,10,5,41
27.15,33.7167,16.0,17.6,2001,2,11,6,42
27.15,33.7167,16.0,17.9,2001,2,12,0,43
27.15,33.7167,16.0,19.1,2001,2,13,1,44
27.15,33.7167,16.0,18.7,2001,2,14,2,45
27.15,33.7167,16.0,16.9,2001,2,15,3,46
27.15,33.7167,16.0,17.3,2001,2,16,4,47
27.15,33.7167,16.0,16.5,2001,2,17,5,48
27.15,33.7167,16.0,15.4,2001,2,18,6,49
27.15,33.7167,16.0,15.8,2001,2,19,0,50
27.15,33.7167,16.0,18.2,2001,2,20,1,51
27.15,33.7167,16.0,14.5,2001,2,21,2,52
27.15,33.7167,16.0,14.5,2001,2,22,3,53
27.15,33.7167,16.0,15.7,2001,2,23,4,54
27.15,33.7167,16.0,16.7,2001,2,24,5,55
27.15,33.7167,16.0,18.6,2001,2,25,6,56
27.15,33.7167,16.0,18.7,2001,2,26,0,57
27.15,33.7167,16.0,19.6,2001,2,27,1,58
27.15,33.7167,16.0,21.3,2001,2,28,2,59
27.15,33.7167,16.0,21.0,2001,3,1,3,60
27.15,33.7167,16.0,22.4,2001,3,2,4,61
27.15,33.7167,16.0,20.0,2001,3,3,5,62
27.15,33.7167,16.0,20.0,2001,3,4,6,63
27.15,33.7167,16.0,20.8,2001,3,5,0,64
27.15,33.7167,16.0,21.7,2001,3,6,1,65
27.15,33.7167,16.0,21.7,2001,3,7,2,66
27.15,33.7167,16.0,21.7,2001,3,8,3,67
27.15,33.7167,16.0,21.2,2001,3,9,4,68
27.15,33.7167,16.0,19.8,2001,3,10,5,69
27.15,33.7167,16.0,20.4,2001,3,11,6,70
27.15,33.7167,16.0,20.0,2001,3,12,0,71
27.15,33.7167,16.0,21.2,2001,3,13,1,72
27.15,33.7167,16.0,20.6,2001,3,14,2,73
27.15,33.7167,16.0,21.2,2001,3,15,3,74
27.15,33.7167,16.0,21.2,2001,3,16,4,75
27.15,33.7167,16.0,20.8,2001,3,17,5,76
27.15,33.7167,16.0,22.3,2001,3,18,6,77
27.15,33.7167,16.0,24.1,2001,3,19,0,78
27.15,33.7167,16.0,24.8,2001,3,20,1,79
27.15,33.7167,16.0,25.8,2001,3,21,2,80
27.15,33.7167,16.0,25.0,2001,3,22,3,81
27.15,33.7167,16.0,24.7,2001,3,23,4,82
27.15,33.7167,16.0,23.4,2001,3,24,5,83
27.15,33.7167,16.0,21.7,2001,3,25,6,84
27.15,33.7167,16.0,22.8,2001,3,26,0,85
27.15,33.7167,16.0,24.0,2001,3,27,1,86
27.15,33.7167,16.0,25.2,2001,3,28,2,87
27.15,33.7167,16.0,26.3,2001,3,29,3,88
27.15,33.7167,16.0,25.9,2001,3,30,4,89
27.15,33.7167,16.0,25.1,2001,3,31,5,90
27.15,33.7167,16.0,25.0,2001,4,1,6,91
27.15,33.7167,16.0,25.1,2001,4,2,0,92
27.15,33.7167,16.0,24.3,2001,4,3,1,93
27.15,33.7167,16.0,23.6,2001,4,4,2,94
27.15,33.7167,16.0,22.5,2001,4,5,3,95
27.15,33.7167,16.0,20.7,2001,4,6,4,96
27.15,33.7167,16.0,22.8,2001,4,7,5,97
27.15,33.7167,16.0,21.8,2001,4,8,6,98
27.15,33.7167,16.0,22.7,2001,4,9,0,99
27.15,33.7167,16.0,25.8,2001,4,10,1,100
27.15,33.7167,16.0,24.4,2001,4,11,2,101
27.15,33.7167,16.0,23.9,2001,4,12,3,102
27.15,33.7167,16.0,23.7,2001,4,13,4,103
27.15,33.7167,16.0,24.9,2001,4,14,5,104
27.15,33.7167,16.0,23.3,2001,4,15,6,105
27.15,33.7167,16.0,24.1,2001,4,16,0,106
27.15,33.7167,16.0,26.1,2001,4,17,1,107
27.15,33.7167,16.0,27.9,2001,4,18,2,108
27.15,33.7167,16.0,26.9,2001,4,19,3,109
27.15,33.7167,16.0,25.3,2001,4,20,4,110
27.15,33.7167,16.0,26.1,2001,4,21,5,111
27.15,33.7167,16.0,25.7,2001,4,22,6,112
27.15,33.7167,16.0,27.1,2001,4,23,0,113
27.15,33.7167,16.0,25.8,2001,4,24,1,114
27.15,33.7167,16.0,23.2,2001,4,25,2,115
27.15,33.7167,16.0,22.7,2001,4,26,3,116
27.15,33.7167,16.0,23.5,2001,4,27,4,117
27.15,33.7167,16.0,24.7,2001,4,28,5,118
27.15,33.7167,16.0,25.4,2001,4,29,6,119
27.15,33.7167,16.0,26.4,2001,4,30,0,120
27.15,33.7167,16.0,29.4,2001,5,1,1,121
27.15,33.7167,16.0,26.6,2001,5,2,2,122
27.15,33.7167,16.0,26.1,2001,5,3,3,123
27.15,33.7167,16.0,25.1,2001,5,4,4,124
27.15,33.7167,16.0,26.1,2001,5,5,5,125
27.15,33.7167,16.0,28.0,2001,5,6,6,126
27.15,33.7167,16.0,27.5,2001,5,7,0,127
27.15,33.7167,16.0,25.3,2001,5,8,1,128
27.15,33.7167,16.0,26.4,2001,5,9,2,129
